SVM-light Version V6.02
0 # kernel type
3 # kernel parameter -d 
1 # kernel parameter -g 
1 # kernel parameter -s 
1 # kernel parameter -r 
empty# kernel parameter -u 
57 # highest feature index 
1813 # number of training documents 
678 # number of support vectors plus 1 
0.30829489 # threshold b, each following line is a SV (starting with alpha*y)
0.5 5:-0.48666501 6:-0.35563499 10:6.1603112 12:-0.66384602 15:-0.21397699 16:-0.303601 21:-0.76167101 25:-0.259592 28:-0.18276601 29:-0.150461 34:-0.1311 36:-0.22950201 38:-0.063603997 39:-0.157189 42:-0.139154 47:-0.079241998 48:-0.101023 49:0.81832498 50:-0.615345 51:-0.150841 52:-0.459032 57:-0.32734001 #
0.5 5:0.22365899 6:-0.35563499 10:-0.40832499 12:-0.66384602 15:-0.21397699 16:-0.303601 21:1.281193 25:-0.259592 28:-0.18276601 29:-0.150461 34:-0.1311 36:-0.22950201 38:-0.063603997 39:-0.157189 42:-0.139154 47:-0.079241998 48:-0.101023 49:-0.14805999 50:1.6472909 51:-0.150841 52:-0.459032 57:-0.149088 #
-0.5 5:0.62955803 6:0.893848 10:-0.40832499 12:0.85610598 15:3.649437 16:-0.303601 21:0.20163099 25:-0.259592 28:-0.18276601 29:-0.150461 34:-0.1311 36:-0.22950201 38:-0.063603997 39:-0.157189 42:-0.139154 47:-0.079241998 48:-0.101023 49:-0.14805999 50:-0.29003 51:-0.150841 52:-0.459032 57:-0.37077901 #
-0.013440388985834161861276925264974 5:-0.48666501 6:-0.35563499 10:0.48810101 12:-0.66384602 15:-0.21397699 16:-0.303601 21:0.20993499 25:-0.259592 28:-0.18276601 29:1.193994 34:-0.1311 36:-0.22950201 38:-0.063603997 39:-0.157189 42:-0.139154 47:-0.079241998 48:-0.101023 49:-0.14805999 50:3.3515511 51:-0.150841 52:-0.459032 57:-0.225482 #
-0.5 5:-0.48666501 6:-0.35563499 10:-0.40832499 12:1.6684951 15:-0.21397699 16:-0.303601 21:-0.76167101 25:-0.259592 28:-0.18276601 29:-0.150461 34:-0.1311 36:5.3750048 38:-0.063603997 39:-0.157189 42:-0.139154 47:-0.079241998 48:-0.101023 49:-0.14805999 50:-0.615345 51:-0.150841 52:0.40345401 57:-0.418713 #
0.5 5:-0.48666501 6:-0.35563499 10:-0.40832499 12:-0.66384602 15:-0.21397699 16:-0.303601 21:-0.76167101 25:-0.259592 28:17.02533 29:-0.150461 34:-0.1311 36:-0.22950201 38:-0.063603997 39:-0.157189 42:-0.139154 47:-0.079241998 48:-0.101023 49:-0.14805999 50:9.1586599 51:-0.150841 52:-0.459032 57:-0.38126501 #
0.5 5:-0.109759 6:-0.35563499 10:-0.40832499 12:1.052652 15:-0.21397699 16:-0.303601 21:-0.32984599 25:-0.259592 28:-0.18276601 29:-0.150461 34:-0.1311 36:1.407769 38:-0.063603997 39:-0.157189 42:-0.139154 47:-0.079241998 48:0.80602503 49:-0.020106999 50:-0.43083799 51:-0.150841 52:-0.34570199 57:-0.188034 #
0.5 5:0.55707598 6:1.2226599 10:-0.40832499 12:-0.34937301 15:-0.21397699 16:0.148682 21:0.44245601 25:-0.259592 28:-0.18276601 29:-0.150461 34:-0.1311 36:-0.22950201 38:-0.063603997 39:-0.157189 42:-0.139154 47:-0.079241998 48:0.73625201 49:-0.14805999 50:-0.44054899 51:-0.150841 52:-0.40604699 57:-0.062208999 #
0.5 5:0.55707598 6:1.2226599 10:-0.40832499 12:-0.34937301 15:-0.21397699 16:0.148682 21:0.43415201 25:-0.259592 28:-0.18276601 29:-0.150461 34:-0.1311 36:-0.22950201 38:-0.063603997 39:-0.157189 42:-0.139154 47:-0.079241998 48:0.73625201 49:-0.14805999 50:-0.44054899 51:-0.150841 52:-0.40604699 57:-0.048726998 #
-0.5 5:3.6448109 6:-0.35563499 10:-0.40832499 12:-0.66384602 15:-0.21397699 16:-0.303601 21:1.605062 25:-0.259592 28:-0.18276601 29:-0.150461 34:-0.1311 36:8.7440062 38:-0.063603997 39:-0.157189 42:-0.139154 47:-0.079241998 48:-0.101023 49:-0.14805999 50:-0.615345 51:-0.150841 52:-0.459032 57:-0.38725701 #
-0.5 5:-0.48666501 6:10.955476 10:-0.40832499 12:-0.66384602 15:-0.21397699 16:-0.303601 21:4.9600101 25:-0.259592 28:-0.18276601 29:-0.150461 34:-0.1311 36:-0.22950201 38:-0.063603997 39:-0.157189 42:-0.139154 47:-0.079241998 48:-0.101023 49:-0.14805999 50:1.909485 51:-0.150841 52:-0.459032 57:-0.43369201 #
-0.5 5:-0.48666501 6:-0.35563499 10:-0.40832499 12:-0.66384602 15:-0.21397699 16:18.541515 21:-0.76167101 25:-0.259592 28:-0.18276601 29:-0.150461 34:-0.1311 36:-0.22950201 38:-0.063603997 39:-0.157189 42:-0.139154 47:-0.079241998 48:-0.101023 49:-0.14805999 50:-0.615345 51:-0.150841 52:-0.459032 57:-0.43818599 #
-0.5 5:-0.48666501 6:-0.35563499 10:-0.40832499 12:-0.66384602 15:-0.21397699 16:0.110992 21:-0.396281 25:-0.259592 28:-0.18276601 29:-0.150461 34:-0.1311 36:-0.22950201 38:-0.063603997 39:-0.157189 42:-0.139154 47:-0.079241998 48:-0.101023 49:-0.14805999 50:0.248924 51:0.48594901 52:-0.459032 57:0.009691 #
0.5 5:-0.48666501 6:1.617233 10:1.461804 12:-0.66384602 15:-0.21397699 16:0.26175299 21:-0.76167101 25:-0.259592 28:-0.18276601 29:-0.150461 34:-0.1311 36:-0.22950201 38:-0.063603997 39:-0.157189 42:-0.139154 47:-0.079241998 48:-0.101023 49:0.54895002 50:1.899774 51:4.3174801 52:-0.0027679999 57:-0.158075 #
-0.5 5:-0.124255 6:-0.35563499 10:-0.40832499 12:1.013343 15:-0.21397699 16:-0.303601 21:1.156628 25:-0.064865001 28:-0.18276601 29:1.031732 34:-0.1311 36:-0.22950201 38:-0.063603997 39:-0.157189 42:-0.139154 47:-0.079241998 48:-0.101023 49:-0.14805999 50:-0.047258001 51:-0.150841 52:-0.401631 57:-0.089171 #
-0.5 5:-0.48666501 6:-0.35563499 10:-0.40832499 12:-0.66384602 15:-0.21397699 16:-0.303601 21:0.027240001 25:-0.259592 28:-0.18276601 29:-0.150461 34:-0.1311 36:-0.22950201 38:-0.063603997 39:-0.157189 42:-0.139154 47:-0.079241998 48:-0.101023 49:-0.14805999 50:0.083838999 51:-0.150841 52:8.0480814 57:-0.37077901 #
-0.5 5:-0.48666501 6:-0.35563499 10:16.762863 12:-0.66384602 15:-0.21397699 16:-0.303601 21:-0.76167101 25:-0.259592 28:-0.18276601 29:-0.150461 34:-0.1311 36:-0.22950201 38:-0.063603997 39:-0.157189 42:-0.139154 47:-0.079241998 48:-0.101023 49:-0.14805999 50:-0.615345 51:-0.150841 52:-0.459032 57:-0.44118199 #
