-1 5:-0.486665 6:-0.355635 10:-0.408325 12:-0.663846 15:-0.213977 25:-0.259592 28:-0.182766 34:-0.131100 38:-0.063604 50:-0.615345 57:-0.357298 
-1 5:-0.486665 6:-0.355635 10:-0.408325 12:0.030615 15:-0.213977 25:0.838671 28:-0.182766 34:-0.131100 38:-0.063604 50:3.040803 57:0.418623 
1 5:-0.312708 6:-0.355635 10:-0.222858 12:-0.165931 15:3.582826 25:-0.259592 28:-0.182766 34:-0.131100 38:-0.063604 50:0.282912 57:0.267333 
-1 5:-0.486665 6:-0.355635 10:-0.408325 12:-0.663846 15:-0.213977 25:-0.259592 28:-0.182766 34:-0.131100 38:-0.063604 50:7.901100 57:-0.433692 
-1 5:-0.486665 6:-0.355635 10:-0.408325 12:1.013343 15:-0.213977 25:-0.259592 28:-0.182766 34:-0.131100 38:-0.063604 50:0.268346 57:-0.430696 
-1 5:-0.486665 6:-0.355635 10:-0.408325 12:-0.663846 15:-0.213977 25:-0.259592 28:-0.182766 34:-0.131100 38:-0.063604 50:0.656781 57:-0.405232 
1 5:-0.486665 6:-0.355635 10:-0.408325 12:-0.663846 15:-0.213977 25:-0.259592 28:-0.182766 34:-0.131100 38:-0.063604 50:-0.615345 57:-0.378269 
1 5:-0.486665 6:-0.355635 10:6.160311 12:-0.663846 15:-0.213977 25:-0.259592 28:-0.182766 34:-0.131100 38:-0.063604 50:-0.615345 57:-0.327340 
-1 5:-0.486665 6:0.466393 10:-0.222858 12:-0.663846 15:-0.213977 25:-0.259592 28:-0.182766 34:-0.131100 38:-0.063604 50:-0.523092 57:-0.134109 
1 5:-0.486665 6:-0.355635 10:5.418442 12:-0.663846 15:-0.213977 25:-0.259592 28:-0.182766 34:-0.131100 38:-0.063604 50:-0.615345 57:-0.327340 
-1 5:0.962976 6:0.104701 10:4.228359 12:0.449912 15:-0.213977 25:-0.259592 28:-0.182766 34:-0.131100 38:-0.063604 50:-0.508525 57:-0.192527 
-1 5:-0.486665 6:-0.355635 10:-0.408325 12:0.594045 15:-0.213977 25:-0.259592 28:-0.182766 34:-0.131100 38:-0.063604 50:-0.615345 57:-0.397742 
1 5:0.702040 6:1.650114 10:0.534468 12:0.947828 15:-0.213977 25:-0.259592 28:-0.182766 34:-0.131100 38:-0.063604 50:-0.299741 57:0.006696 
-1 5:0.818011 6:-0.355635 10:-0.408325 12:-0.663846 15:-0.213977 25:1.843466 28:1.676452 34:3.187996 38:-0.063604 50:1.564749 57:-0.379767 
1 5:-0.486665 6:-0.355635 10:-0.408325 12:-0.663846 15:-0.213977 25:-0.259592 28:-0.182766 34:-0.131100 38:-0.063604 50:-0.615345 57:-0.390252 
-1 5:-0.486665 6:-0.355635 10:-0.408325 12:0.947828 15:-0.213977 25:-0.259592 28:-0.182766 34:-0.131100 38:-0.063604 50:-0.139512 57:-0.339323 
1 5:-0.080766 6:-0.355635 10:0.240811 12:-0.663846 15:0.252297 25:-0.259592 28:-0.182766 34:-0.131100 38:-0.063604 50:-0.615345 57:1.040258 
1 5:-0.486665 6:-0.355635 10:-0.408325 12:-0.663846 15:-0.213977 25:-0.259592 28:-0.182766 34:-0.131100 38:-0.063604 50:0.855854 57:-0.384261 
-1 5:0.238155 6:-0.355635 10:-0.408325 12:-0.008694 15:-0.213977 25:0.527107 28:0.850133 34:1.712842 38:-0.063604 50:0.195514 57:-0.274913 
1 5:0.078695 6:0.269107 10:0.194444 12:1.419537 15:-0.213977 25:-0.259592 28:-0.182766 34:-0.131100 38:-0.063604 50:-0.435694 57:0.641812 
-1 5:-0.486665 6:-0.355635 10:-0.408325 12:1.380228 15:-0.213977 25:-0.259592 28:-0.182766 34:-0.131100 38:-0.063604 50:-0.251187 57:-0.270419 
-1 5:-0.486665 6:-0.355635 10:-0.408325 12:-0.663846 15:-0.213977 25:-0.259592 28:-0.182766 34:-0.131100 38:-0.063604 50:-0.615345 57:-0.382763 
1 5:2.833012 6:-0.355635 10:-0.408325 12:0.829900 15:-0.213977 25:-0.259592 28:-0.182766 34:-0.131100 38:-0.063604 50:2.521271 57:-0.279407 
-1 5:-0.124255 6:-0.355635 10:-0.408325 12:-0.008694 15:-0.213977 25:-0.259592 28:-0.182766 34:-0.131100 38:-0.063604 50:-0.615345 57:-0.381265 
1 5:1.615314 6:0.828086 10:1.832739 12:0.764385 15:-0.213977 25:0.020815 28:-0.182766 34:-0.131100 38:-0.063604 50:-0.343440 57:-0.235967 
-1 5:-0.486665 6:-0.355635 10:-0.408325 12:-0.663846 15:-0.213977 25:-0.259592 28:-0.182766 34:-0.131100 38:-0.063604 50:-0.615345 57:-0.436688 
-1 5:-0.486665 6:-0.355635 10:-0.408325 12:-0.663846 15:-0.213977 25:2.209554 28:-0.182766 34:-0.131100 38:-0.063604 50:-0.615345 57:-0.400738 
-1 5:0.136680 6:-0.355635 10:-0.408325 12:-0.663846 15:-0.213977 25:-0.259592 28:-0.182766 34:-0.131100 38:-0.063604 50:-0.231765 57:-0.364788 
1 5:-0.486665 6:-0.355635 10:-0.408325 12:-0.663846 15:-0.213977 25:-0.259592 28:-0.182766 34:-0.131100 38:-0.063604 50:0.248924 57:0.223894 
1 5:-0.486665 6:-0.355635 10:-0.408325 12:0.515427 15:-0.213977 25:-0.259592 28:-0.182766 34:-0.131100 38:-0.063604 50:0.093550 57:-0.331834 
-1 5:-0.486665 6:-0.355635 10:-0.408325 12:-0.663846 15:-0.213977 25:-0.259592 28:-0.182766 34:-0.131100 38:-0.063604 50:-0.615345 57:-0.436688 
-1 5:0.499091 6:-0.355635 10:0.117166 12:-0.663846 15:-0.213977 25:0.005237 28:-0.182766 34:-0.131100 38:-0.063604 50:-0.615345 57:-0.300377 
-1 5:-0.486665 6:-0.355635 10:-0.408325 12:-0.663846 15:-0.213977 25:-0.259592 28:-0.182766 34:-0.131100 38:-0.063604 50:2.516415 57:-0.433692 
-1 5:-0.486665 6:-0.355635 10:0.611746 12:-0.663846 15:-0.213977 25:-0.259592 28:-0.182766 34:-0.131100 38:-0.063604 50:-0.081246 57:-0.264427 
-1 5:-0.269219 6:-0.355635 10:-0.300136 12:1.747113 15:-0.213977 25:1.773364 28:-0.182766 34:-0.131100 38:0.228118 50:0.078983 57:0.441092 
-1 5:-0.486665 6:-0.355635 10:-0.408325 12:-0.139725 15:-0.213977 25:0.137652 28:-0.182766 34:-0.131100 38:-0.063604 50:0.132393 57:0.315267 
-1 5:-0.486665 6:-0.355635 10:-0.408325 12:0.069924 15:-0.213977 25:-0.259592 28:-0.182766 34:-0.131100 38:-0.063604 50:-0.134656 57:-0.400738 
-1 5:-0.486665 6:-0.355635 10:-0.408325 12:-0.663846 15:-0.213977 25:-0.259592 28:-0.182766 34:-0.131100 38:-0.063604 50:-0.615345 57:-0.438186 
-1 5:-0.486665 6:-0.355635 10:-0.408325 12:-0.663846 15:-0.213977 25:-0.259592 28:-0.182766 34:-0.131100 38:-0.063604 50:3.118490 57:-0.367784 
-1 5:-0.486665 6:-0.355635 10:-0.408325 12:0.384397 15:-0.213977 25:0.994454 28:1.469873 34:2.819208 38:-0.063604 50:1.161747 57:-0.330336 
1 5:-0.008284 6:-0.355635 10:-0.408325 12:-0.231446 15:-0.213977 25:-0.259592 28:-0.182766 34:-0.131100 38:-0.063604 50:-0.615345 57:-0.232971 
1 5:0.933983 6:-0.355635 10:1.106325 12:0.620252 15:-0.213977 25:0.503740 28:-0.182766 34:-0.131100 38:-0.063604 50:-0.615345 57:-0.355800 
-1 5:-0.486665 6:-0.355635 10:-0.408325 12:-0.663846 15:-0.213977 25:-0.259592 28:-0.182766 34:-0.131100 38:-0.063604 50:-0.615345 57:-0.439684 
