-1 5:-0.486665 25:-0.259592 50:-0.615345 
-1 5:-0.486665 25:0.838671 50:3.040803 
1 5:-0.312708 25:-0.259592 50:0.282912 
-1 5:-0.486665 25:-0.259592 50:7.901100 
-1 5:-0.486665 25:-0.259592 50:0.268346 
-1 5:-0.486665 25:-0.259592 50:0.656781 
1 5:-0.486665 25:-0.259592 50:-0.615345 
1 5:-0.486665 25:-0.259592 50:-0.615345 
-1 5:-0.486665 25:-0.259592 50:-0.523092 
1 5:-0.486665 25:-0.259592 50:-0.615345 
-1 5:0.962976 25:-0.259592 50:-0.508525 
-1 5:-0.486665 25:-0.259592 50:-0.615345 
1 5:0.702040 25:-0.259592 50:-0.299741 
-1 5:0.818011 25:1.843466 50:1.564749 
1 5:-0.486665 25:-0.259592 50:-0.615345 
-1 5:-0.486665 25:-0.259592 50:-0.139512 
1 5:-0.080766 25:-0.259592 50:-0.615345 
1 5:-0.486665 25:-0.259592 50:0.855854 
-1 5:0.238155 25:0.527107 50:0.195514 
1 5:0.078695 25:-0.259592 50:-0.435694 
-1 5:-0.486665 25:-0.259592 50:-0.251187 
-1 5:-0.486665 25:-0.259592 50:-0.615345 
1 5:2.833012 25:-0.259592 50:2.521271 
-1 5:-0.124255 25:-0.259592 50:-0.615345 
1 5:1.615314 25:0.020815 50:-0.343440 
-1 5:-0.486665 25:-0.259592 50:-0.615345 
-1 5:-0.486665 25:2.209554 50:-0.615345 
-1 5:0.136680 25:-0.259592 50:-0.231765 
1 5:-0.486665 25:-0.259592 50:0.248924 
1 5:-0.486665 25:-0.259592 50:0.093550 
-1 5:-0.486665 25:-0.259592 50:-0.615345 
-1 5:0.499091 25:0.005237 50:-0.615345 
-1 5:-0.486665 25:-0.259592 50:2.516415 
-1 5:-0.486665 25:-0.259592 50:-0.081246 
-1 5:-0.269219 25:1.773364 50:0.078983 
-1 5:-0.486665 25:0.137652 50:0.132393 
-1 5:-0.486665 25:-0.259592 50:-0.134656 
-1 5:-0.486665 25:-0.259592 50:-0.615345 
-1 5:-0.486665 25:-0.259592 50:3.118490 
-1 5:-0.486665 25:0.994454 50:1.161747 
1 5:-0.008284 25:-0.259592 50:-0.615345 
1 5:0.933983 25:0.503740 50:-0.615345 
-1 5:-0.486665 25:-0.259592 50:-0.615345 
-1 5:-0.486665 25:-0.259592 50:1.797810 
1 5:-0.486665 25:-0.259592 50:0.734468 
-1 5:-0.486665 25:-0.259592 50:-0.615345 
-1 5:-0.486665 25:4.990265 50:-0.358006 
1 5:1.122436 25:-0.259592 50:0.268346 
-1 5:-0.486665 25:0.550475 50:-0.348296 
1 5:0.586069 25:-0.259592 50:-0.333729 
1 5:-0.486665 25:-0.259592 50:-0.183211 
1 5:0.455601 25:-0.259592 50:-0.105524 
-1 5:-0.486665 25:2.209554 50:0.054706 
1 5:-0.486665 25:-0.259592 50:-0.406561 
-1 5:0.223659 25:-0.259592 50:-0.615345 
1 5:0.136680 25:-0.096021 50:-0.615345 
1 5:-0.341701 25:-0.220647 50:-0.396850 
-1 5:-0.486665 25:-0.259592 50:-0.615345 
1 5:-0.486665 25:-0.259592 50:-0.615345 
1 5:1.064450 25:-0.259592 50:-0.615345 
1 5:-0.269219 25:-0.259592 50:0.278056 
1 5:0.484594 25:-0.259592 50:-0.615345 
1 5:0.281644 25:-0.259592 50:-0.615345 
1 5:0.238155 25:-0.259592 50:1.118048 
-1 5:-0.138751 25:-0.259592 50:0.331466 
1 5:1.136932 25:-0.259592 50:-0.212343 
-1 5:-0.486665 25:-0.259592 50:0.661636 
1 5:1.905242 25:-0.259592 50:1.399663 
1 5:-0.486665 25:-0.259592 50:0.414009 
1 5:0.078695 25:-0.259592 50:0.059562 
-1 5:-0.486665 25:-0.111599 50:-0.615345 
1 5:-0.022780 25:-0.259592 50:0.506262 
1 5:-0.486665 25:-0.259592 50:-0.615345 
-1 5:-0.037276 25:0.885406 50:0.200369 
-1 5:-0.486665 25:-0.259592 50:1.326832 
1 5:0.397616 25:-0.259592 50:-0.615345 
-1 5:-0.486665 25:-0.259592 50:-0.615345 
-1 5:-0.486665 25:6.509140 50:-0.615345 
1 5:-0.486665 25:-0.259592 50:0.166381 
-1 5:-0.022780 25:0.737413 50:-0.158933 
-1 5:-0.486665 25:-0.259592 50:0.331466 
1 5:0.020709 25:-0.259592 50:-0.222054 
1 5:-0.486665 25:-0.259592 50:-0.197777 
-1 5:0.455601 25:0.145441 50:0.297478 
1 5:-0.486665 25:-0.259592 50:-0.615345 
-1 5:6.413624 25:-0.259592 50:-0.615345 
-1 5:-0.486665 25:-0.259592 50:-0.615345 
1 5:1.426861 25:-0.259592 50:0.846143 
1 5:0.006213 25:-0.259592 50:-0.134656 
-1 5:-0.486665 25:-0.259592 50:-0.455115 
-1 5:-0.486665 25:-0.259592 50:0.414009 
-1 5:-0.486665 25:1.360541 50:-0.615345 
-1 5:-0.486665 25:1.064555 50:1.176313 
1 5:0.165673 25:-0.259592 50:-0.615345 
-1 5:-0.486665 25:1.391698 50:-0.027836 
1 5:-0.066269 25:-0.259592 50:-0.236620 
1 5:-0.486665 25:-0.259592 50:-0.615345 
-1 5:2.963480 25:-0.259592 50:-0.615345 
-1 5:-0.486665 25:-0.259592 50:-0.615345 
1 5:0.383119 25:-0.259592 50:-0.615345 
1 5:0.455601 25:-0.259592 50:-0.100668 
1 5:0.006213 25:-0.259592 50:-0.134656 
1 5:-0.153248 25:-0.259592 50:-0.086102 
-1 5:-0.486665 25:-0.259592 50:-0.615345 
-1 5:-0.486665 25:-0.259592 50:-0.615345 
