-1 1:-0.348299 2:-0.179690 3:-0.622004 4:-0.045353 5:-0.486665 6:-0.355635 7:1.198869 8:-0.271205 9:-0.354184 10:-0.408325 11:-0.332057 12:-0.663846 14:-0.189715 15:-0.213977 16:-0.303601 17:-0.335214 18:-0.362865 19:0.876931 21:-0.205281 23:-0.320935 24:-0.222236 25:-0.259592 27:-0.035759 28:-0.182766 29:-0.150461 30:-0.189439 31:-0.120054 32:-0.129938 33:-0.133763 34:-0.131100 35:-0.191397 36:-0.229502 37:-0.265298 38:-0.063604 39:-0.157189 40:-0.183598 42:-0.139154 43:-0.159254 45:1.111878 46:-0.215674 47:-0.079242 48:-0.101023 49:-0.148060 50:-0.615345 51:-0.150841 52:-0.459032 53:-0.345376 54:-0.101856 55:-0.103924 56:-0.364039 57:-0.357298 
-1 1:-0.348299 2:-0.179690 3:-0.622004 4:-0.045353 5:-0.486665 6:-0.355635 7:-0.317645 8:-0.271205 9:-0.354184 10:-0.408325 11:-0.332057 12:0.030615 14:-0.189715 15:-0.213977 16:-0.303601 17:-0.335214 18:-0.362865 19:-0.935248 21:-0.761671 23:-0.320935 24:-0.222236 25:0.838671 27:-0.225205 28:-0.182766 29:-0.150461 30:-0.189439 31:-0.120054 32:-0.129938 33:0.136845 34:-0.131100 35:-0.191397 36:-0.229502 37:7.404239 38:-0.063604 39:-0.157189 40:-0.183598 42:-0.139154 43:-0.159254 45:-0.293182 46:3.128253 47:-0.079242 48:0.492047 49:0.764450 50:3.040803 51:1.144325 52:-0.459032 53:-0.345376 54:-0.101856 55:-0.012629 56:-0.263537 57:0.418623 
1 1:-0.348299 2:0.436670 3:1.644596 4:-0.045353 5:-0.312708 6:-0.355635 7:-0.317645 8:0.004757 9:0.522093 10:-0.222858 11:0.223397 12:-0.165931 14:-0.189715 15:3.582826 16:-0.303601 17:-0.062592 18:3.194246 19:0.554136 21:0.292978 23:-0.320935 24:-0.029393 25:-0.259592 27:-0.225205 28:-0.182766 29:-0.150461 30:-0.189439 31:-0.120054 32:-0.129938 33:-0.133763 34:-0.131100 35:-0.191397 36:0.148330 37:-0.265298 38:-0.063604 39:-0.157189 40:-0.183598 42:-0.139154 43:-0.159254 45:-0.293182 46:-0.215674 47:-0.079242 48:-0.101023 49:-0.148060 50:0.282912 51:-0.150841 52:0.087013 53:-0.124730 54:-0.101856 55:-0.072939 56:0.231240 57:0.267333 
-1 1:-0.348299 2:-0.179690 3:-0.622004 4:-0.045353 5:-0.486665 6:-0.355635 7:-0.317645 8:-0.271205 9:-0.354184 10:-0.408325 11:-0.332057 12:-0.663846 14:-0.189715 15:-0.213977 16:-0.303601 17:-0.335214 18:-0.362865 19:-1.031520 21:-0.761671 23:-0.320935 24:-0.222236 25:-0.259592 27:3.812552 28:-0.182766 29:-0.150461 30:-0.189439 31:-0.120054 32:-0.129938 33:-0.133763 34:-0.131100 35:-0.191397 36:-0.229502 37:-0.265298 38:-0.063604 39:-0.157189 40:-0.183598 42:-0.139154 43:-0.159254 45:-0.293182 46:-0.215674 47:-0.079242 48:-0.101023 49:-0.148060 50:7.901100 51:-0.150841 52:-0.459032 53:-0.345376 54:-0.101856 55:-0.130667 56:-0.410424 57:-0.433692 
-1 1:-0.348299 2:-0.179690 3:-0.622004 4:-0.045353 5:-0.486665 6:-0.355635 7:-0.317645 8:-0.271205 9:-0.354184 10:-0.408325 11:-0.332057 12:1.013343 14:-0.189715 15:-0.213977 16:-0.303601 17:-0.335214 18:-0.362865 19:1.143095 21:-0.761671 23:-0.320935 24:-0.222236 25:-0.259592 27:-0.225205 28:-0.182766 29:-0.150461 30:-0.189439 31:-0.120054 32:-0.129938 33:-0.133763 34:-0.131100 35:-0.191397 36:-0.229502 37:-0.265298 38:-0.063604 39:-0.157189 40:-0.183598 42:-0.139154 43:-0.159254 45:-0.293182 46:2.637810 47:-0.079242 48:-0.101023 49:0.464770 50:0.268346 51:-0.150841 52:-0.459032 53:-0.345376 54:-0.101856 55:-0.130667 56:-0.410424 57:-0.430696 
-1 1:-0.348299 2:-0.179690 3:-0.622004 4:-0.045353 5:-0.486665 6:-0.355635 7:-0.317645 8:-0.271205 9:-0.354184 10:-0.408325 11:-0.332057 12:-0.663846 14:-0.189715 15:-0.213977 16:-0.303601 17:-0.335214 18:-0.362865 19:4.036918 21:-0.761671 23:-0.320935 24:-0.222236 25:-0.259592 27:0.196101 28:-0.182766 29:-0.150461 30:-0.189439 31:-0.120054 32:-0.129938 33:-0.133763 34:-0.131100 35:-0.191397 36:-0.229502 37:-0.265298 38:-0.063604 39:-0.157189 40:-0.183598 42:-0.139154 43:-0.159254 45:-0.293182 46:-0.215674 47:-0.079242 48:5.097060 49:-0.148060 50:0.656781 51:-0.150841 52:-0.459032 53:-0.345376 54:-0.101856 55:-0.111455 56:-0.364039 57:-0.405232 
1 1:-0.348299 2:-0.179690 3:-0.622004 4:-0.045353 5:-0.486665 6:-0.355635 7:-0.317645 8:-0.271205 9:-0.354184 10:-0.408325 11:-0.332057 12:-0.663846 14:-0.189715 15:-0.213977 16:-0.303601 17:-0.335214 18:-0.362865 19:-1.031520 21:-0.761671 23:-0.320935 24:-0.222236 25:-0.259592 27:-0.225205 28:-0.182766 29:-0.150461 30:-0.189439 31:-0.120054 32:-0.129938 33:-0.133763 34:-0.131100 35:-0.191397 36:-0.229502 37:-0.265298 38:-0.063604 39:-0.157189 40:-0.183598 42:-0.139154 43:-0.159254 45:-0.293182 46:-0.215674 47:-0.079242 48:-0.101023 49:-0.148060 50:-0.615345 51:-0.150841 52:-0.459032 53:11.446495 54:-0.101856 55:-0.086280 56:-0.340846 57:-0.378269 
1 1:-0.348299 2:-0.179690 3:-0.622004 4:-0.045353 5:-0.486665 6:-0.355635 7:-0.317645 8:-0.271205 9:-0.354184 10:6.160311 11:-0.332057 12:-0.663846 14:-0.189715 15:-0.213977 16:-0.303601 17:-0.335214 18:-0.362865 19:-1.031520 21:-0.761671 23:-0.320935 24:-0.222236 25:-0.259592 27:-0.225205 28:-0.182766 29:-0.150461 30:-0.189439 31:-0.120054 32:-0.129938 33:-0.133763 34:-0.131100 35:-0.191397 36:-0.229502 37:-0.265298 38:-0.063604 39:-0.157189 40:-0.183598 42:-0.139154 43:-0.159254 45:-0.293182 46:-0.215674 47:-0.079242 48:-0.101023 49:0.818325 50:-0.615345 51:-0.150841 52:-0.459032 53:-0.345376 54:-0.101856 55:-0.028214 56:-0.317653 57:-0.327340 
-1 1:0.459285 2:-0.179690 3:0.392001 4:-0.045353 5:-0.486665 6:0.466393 7:-0.317645 8:-0.271205 9:-0.354184 10:-0.222858 11:-0.332057 12:-0.663846 14:-0.189715 15:-0.213977 16:-0.068037 17:0.232749 18:0.299734 19:-0.023496 21:-0.338151 23:-0.320935 24:-0.222236 25:-0.259592 27:-0.225205 28:-0.182766 29:-0.150461 30:-0.189439 31:-0.120054 32:-0.129938 33:-0.133763 34:-0.131100 35:-0.191397 36:-0.229502 37:-0.265298 38:-0.063604 39:-0.157189 40:-0.183598 42:-0.139154 43:-0.159254 45:0.102316 46:4.621874 47:-0.079242 48:-0.101023 49:-0.084083 50:-0.523092 51:-0.150841 52:-0.459032 53:-0.207925 54:-0.101856 55:-0.110933 56:-0.286730 57:-0.134109 
1 1:-0.348299 2:-0.179690 3:-0.622004 4:-0.045353 5:-0.486665 6:-0.355635 7:-0.317645 8:-0.271205 9:-0.354184 10:5.418442 11:-0.332057 12:-0.663846 14:-0.189715 15:-0.213977 16:-0.303601 17:-0.335214 18:-0.362865 19:0.033135 21:-0.761671 23:-0.320935 24:2.798977 25:-0.259592 27:-0.225205 28:-0.182766 29:-0.150461 30:-0.189439 31:-0.120054 32:-0.129938 33:-0.133763 34:-0.131100 35:-0.191397 36:-0.229502 37:-0.265298 38:-0.063604 39:-0.157189 40:-0.183598 42:-0.139154 43:-0.159254 45:-0.293182 46:-0.215674 47:-0.079242 48:-0.101023 49:0.740880 50:-0.615345 51:-0.150841 52:-0.459032 53:-0.345376 54:-0.101856 55:-0.028214 56:-0.317653 57:-0.327340 
-1 1:1.945241 2:-0.082734 3:0.213059 4:-0.045353 5:0.962976 6:0.104701 7:-0.000762 8:-0.271205 9:-0.354184 10:4.228359 11:0.315972 12:0.449912 14:-0.189715 15:-0.213977 16:-0.303601 17:-0.335214 18:0.125366 19:-0.550160 21:-0.645411 23:-0.320935 24:-0.222236 25:-0.259592 27:-0.225205 28:-0.182766 29:-0.150461 30:-0.189439 31:-0.120054 32:-0.129938 33:-0.133763 34:-0.131100 35:-0.191397 36:-0.229502 37:-0.265298 38:-0.063604 39:-0.157189 40:0.306216 42:-0.139154 43:-0.159254 45:-0.293182 46:-0.215674 47:-0.079242 48:-0.101023 49:-0.148060 50:-0.508525 51:-0.150841 52:-0.459032 53:-0.345376 54:-0.066185 55:-0.102049 56:-0.348577 57:-0.192527 
-1 1:-0.348299 2:-0.179690 3:-0.622004 4:-0.045353 5:-0.486665 6:-0.355635 7:-0.317645 8:-0.271205 9:-0.354184 10:-0.408325 11:-0.332057 12:0.594045 14:-0.189715 15:-0.213977 16:1.505530 17:-0.335214 18:-0.362865 19:1.143095 21:-0.761671 23:-0.320935 24:-0.222236 25:-0.259592 27:0.589132 28:-0.182766 29:-0.150461 30:-0.189439 31:-0.120054 32:-0.129938 33:-0.133763 34:-0.131100 35:-0.191397 36:-0.229502 37:2.336382 38:-0.063604 39:-0.157189 40:-0.183598 42:-0.139154 43:-0.159254 45:0.705971 46:-0.215674 47:-0.079242 48:-0.101023 49:1.006888 50:-0.615345 51:-0.150841 52:-0.207351 53:-0.345376 54:-0.101856 55:-0.121722 56:-0.379500 57:-0.397742 
1 1:-0.348299 2:-0.179690 3:0.193177 4:-0.045353 5:0.702040 6:1.650114 7:0.135046 8:-0.271205 9:0.346837 10:0.534468 11:1.565743 12:0.947828 14:-0.189715 15:-0.213977 16:0.271175 17:-0.335214 18:-0.362865 19:0.605104 21:0.259761 23:-0.320935 24:0.099170 25:-0.259592 27:-0.225205 28:-0.182766 29:-0.150461 30:-0.189439 31:-0.120054 32:-0.129938 33:-0.133763 34:-0.131100 35:-0.191397 36:-0.229502 37:-0.265298 38:-0.063604 39:-0.157189 40:-0.183598 42:-0.139154 43:-0.159254 45:-0.293182 46:-0.215674 47:-0.079242 48:-0.101023 49:0.181925 50:-0.299741 51:-0.150841 52:0.741972 53:-0.110262 54:-0.101856 55:-0.047180 56:-0.070265 57:0.006696 
-1 1:-0.348299 2:-0.179690 3:-0.622004 4:-0.045353 5:0.818011 6:-0.355635 7:-0.317645 8:-0.271205 9:-0.354184 10:-0.408325 11:-0.332057 12:-0.663846 14:-0.189715 15:-0.213977 16:0.544429 17:-0.335214 18:-0.362865 19:-0.521845 21:-0.761671 23:-0.320935 24:-0.222236 25:1.843466 27:0.029275 28:1.676452 29:1.935762 30:2.080236 31:2.099439 32:3.208423 33:-0.133763 34:3.187996 35:2.358634 36:2.604237 37:-0.265298 38:-0.063604 39:-0.157189 40:2.965206 42:-0.139154 43:-0.159254 45:-0.293182 46:-0.215674 47:-0.079242 48:-0.101023 49:-0.148060 50:1.564749 51:-0.150841 52:-0.459032 53:-0.345376 54:-0.101856 55:-0.095317 56:-0.333115 57:-0.379767 
