SVM-light Version V6.02
0 # kernel type
3 # kernel parameter -d 
1 # kernel parameter -g 
1 # kernel parameter -s 
1 # kernel parameter -r 
empty# kernel parameter -u 
57 # highest feature index 
1813 # number of training documents 
845 # number of support vectors plus 1 
0.082613591 # threshold b, each following line is a SV (starting with alpha*y)
0.1337759589137414995008157347911 5:0.499091 6:0.76232398 10:-0.40832499 12:-0.218343 15:-0.21397699 25:-0.259592 28:-0.18276601 34:-0.1311 36:-0.22950201 38:-0.063603997 50:0.166381 51:-0.150841 52:-0.142591 57:0.047139 #
0.5 5:0.194666 6:-0.35563499 10:-0.40832499 12:-0.048004001 15:-0.21397699 25:-0.259592 28:-0.18276601 34:-0.1311 36:-0.22950201 38:-0.063603997 50:-0.615345 51:-0.150841 52:-0.245618 57:-0.15358201 #
-0.5 5:-0.48666501 6:-0.35563499 10:-0.40832499 12:-0.66384602 15:7.246408 25:-0.259592 28:-0.18276601 34:-0.1311 36:-0.22950201 38:-0.063603997 50:-0.615345 51:-0.150841 52:-0.459032 57:-0.37826899 #
0.5 5:-0.48666501 6:-0.35563499 10:-0.40832499 12:-0.66384602 15:-0.21397699 25:-0.259592 28:17.02533 34:-0.1311 36:-0.22950201 38:-0.063603997 50:9.1586599 51:-0.150841 52:-0.459032 57:-0.38126501 #
-0.5 5:-0.48666501 6:-0.35563499 10:-0.40832499 12:-0.66384602 15:-0.21397699 25:-0.259592 28:11.964125 34:-0.1311 36:-0.22950201 38:-0.063603997 50:3.0893569 51:-0.150841 52:-0.459032 57:-0.42021099 #
0.5 5:-0.48666501 6:-0.35563499 10:-0.40832499 12:-0.66384602 15:-0.21397699 25:-0.259592 28:-0.18276601 34:-0.1311 36:-0.22950201 38:-0.063603997 50:-0.615345 51:-0.150841 52:-0.459032 57:-0.44118199 #
0.03795807950918971690468239899019 5:-0.48666501 6:-0.35563499 10:-0.40832499 12:-0.66384602 15:-0.21397699 25:-0.259592 28:18.595337 34:-0.1311 36:-0.22950201 38:-0.063603997 50:4.9829798 51:-0.150841 52:-0.459032 57:-0.38725701 #
-0.5 5:-0.48666501 6:-0.35563499 10:3.1773779 12:-0.66384602 15:3.649437 25:-0.259592 28:-0.18276601 34:-0.1311 36:-0.22950201 38:-0.063603997 50:0.37516499 51:-0.150841 52:-0.459032 57:-0.39175001 #
0.15275235538021197934099859594426 5:-0.48666501 6:-0.35563499 10:0.62720102 12:-0.66384602 15:-0.21397699 25:-0.259592 28:-0.18276601 34:4.8475451 36:-0.22950201 38:-0.063603997 50:-0.615345 51:-0.150841 52:3.0174041 57:-0.246452 #
-0.5 5:-0.48666501 6:-0.35563499 10:-0.40832499 12:0.90851802 15:-0.21397699 25:-0.259592 28:-0.18276601 34:-0.1311 36:-0.22950201 38:-0.063603997 50:-0.615345 51:-0.150841 52:10.884277 57:-0.36778399 #
-0.5 5:-0.48666501 6:0.170463 10:-0.161035 12:1.222991 15:-0.21397699 25:-0.134967 28:-0.18276601 34:-0.1311 36:-0.22950201 38:-0.063603997 50:0.92868602 51:-0.150841 52:-0.342758 57:-0.0097810002 #
0.5 5:-0.48666501 6:1.617233 10:-0.40832499 12:1.694701 15:-0.21397699 25:-0.259592 28:-0.18276601 34:-0.1311 36:-0.22950201 38:-0.063603997 50:-0.158933 51:0.35643199 52:-0.180858 57:-0.143096 #
-0.5 5:-0.48666501 6:-0.35563499 10:0.56537902 12:-0.66384602 15:1.884256 25:-0.259592 28:-0.18276601 34:-0.1311 36:-0.22950201 38:-0.063603997 50:0.37516499 51:-0.150841 52:-0.308907 57:-0.37077901 #
0.5 5:0.28164399 6:-0.35563499 10:0.41082299 12:-0.66384602 15:-0.21397699 25:-0.259592 28:-0.18276601 34:-0.1311 36:-0.22950201 38:-0.063603997 50:1.011228 51:-0.150841 52:-0.459032 57:-0.26592499 #
