SVM-light Version V6.02
0 # kernel type
3 # kernel parameter -d 
1 # kernel parameter -g 
1 # kernel parameter -s 
1 # kernel parameter -r 
empty# kernel parameter -u 
50 # highest feature index 
1813 # number of training documents 
1165 # number of support vectors plus 1 
0.50770492 # threshold b, each following line is a SV (starting with alpha*y)
-0.5 5:-0.48666501 6:-0.35563499 10:-0.40832499 12:-0.66384602 25:-0.259592 28:-0.18276601 38:-0.063603997 50:0.65678102 #
0.5 5:-0.31270799 6:-0.35563499 10:-0.222858 12:-0.165931 25:-0.259592 28:-0.18276601 38:-0.063603997 50:0.28291199 #
-0.5 5:7.5588398 6:-0.35563499 10:-0.40832499 12:6.6083412 25:-0.259592 28:-0.18276601 38:-0.063603997 50:-0.615345 #
0.5 5:-0.48666501 6:-0.35563499 10:-0.40832499 12:-0.66384602 25:-0.259592 28:17.02533 38:-0.063603997 50:9.1586599 #
-0.5 5:-0.48666501 6:-0.35563499 10:-0.40832499 12:-0.66384602 25:-0.259592 28:11.964125 38:-0.063603997 50:3.0893569 #
-0.5 5:-0.356197 6:-0.059705 10:-0.40832499 12:-0.29696101 25:-0.259592 28:-0.18276601 38:-0.063603997 50:-0.34344 #
0.5 5:-0.48666501 6:-0.35563499 10:-0.40832499 12:-0.66384602 25:-0.259592 28:-0.18276601 38:-0.063603997 50:-0.615345 #
-0.5 5:-0.48666501 6:-0.35563499 10:16.762863 12:-0.66384602 25:-0.259592 28:-0.18276601 38:-0.063603997 50:-0.615345 #
0.5 5:0.13668001 6:-0.35563499 10:0.92085803 12:1.039549 25:-0.259592 28:-0.18276601 38:-0.063603997 50:-0.0035590001 #
0.5 5:0.499091 6:-0.35563499 10:0.64265698 12:0.51542699 25:-0.259592 28:-0.18276601 38:1.811754 50:-0.45511499 #
-0.5 5:12.690568 6:-0.35563499 10:-0.40832499 12:-0.66384602 25:-0.259592 28:-0.18276601 38:-0.063603997 50:-0.615345 #
0.5 5:-0.48666501 6:-0.35563499 10:-0.40832499 12:-0.66384602 25:-0.259592 28:-0.18276601 38:-0.063603997 50:1.904629 #
0.5 5:0.52808303 6:-0.35563499 10:0.132622 12:-0.66384602 25:-0.259592 28:-0.18276601 38:-0.063603997 50:-0.066679999 #
-0.5 5:6.4136238 6:-0.35563499 10:-0.40832499 12:-0.66384602 25:-0.259592 28:-0.18276601 38:-0.063603997 50:-0.615345 #
-0.5 5:-0.25472301 6:0.170463 10:0.086254999 12:-0.66384602 25:-0.259592 28:1.139345 38:-0.063603997 50:5.7404289 #
-0.5 5:-0.48666501 6:-0.35563499 10:-0.40832499 12:-0.66384602 25:-0.259592 28:-0.18276601 38:-0.063603997 50:-0.615345 #
-0.5 5:2.1371839 6:-0.35563499 10:-0.40832499 12:1.707804 25:-0.259592 28:-0.18276601 38:-0.063603997 50:2.3707521 #
0.5 5:0.078694999 6:0.26910701 10:0.194444 12:1.3933311 25:-0.259592 28:-0.18276601 38:-0.063603997 50:-0.43569401 #
0.5 5:-0.48666501 6:-0.35563499 10:-0.40832499 12:-0.66384602 25:-0.259592 28:-0.18276601 38:-0.063603997 50:2.9242721 #
-0.5 5:4.5000992 6:-0.35563499 10:-0.40832499 12:3.8436 25:-0.259592 28:-0.18276601 38:-0.063603997 50:2.171679 #
0.5 5:-0.48666501 6:-0.35563499 10:-0.40832499 12:7.276597 25:-0.259592 28:-0.18276601 38:-0.063603997 50:-0.615345 #
0.5 5:-0.48666501 6:-0.35563499 10:0.070799001 12:-0.25765201 25:-0.259592 28:-0.18276601 38:-0.063603997 50:3.026237 #
0.5 5:-0.48666501 6:-0.35563499 10:-0.40832499 12:-0.66384602 25:-0.259592 28:4.6098852 38:-0.063603997 50:1.234578 #
0.5 5:1.62981 6:-0.35563499 10:1.199059 12:-0.12662201 25:0.877617 28:-0.18276601 38:-0.063603997 50:1.331687 #
0.5 5:-0.48666501 6:-0.35563499 10:1.894562 12:1.288507 25:-0.259592 28:-0.18276601 38:-0.063603997 50:-0.615345 #
-0.5 5:-0.48666501 6:-0.35563499 10:-0.40832499 12:-0.66384602 25:-0.259592 28:-0.18276601 38:-0.063603997 50:3.9196379 #
0.5 5:-0.022779999 6:0.433512 10:0.20990001 12:0.22716001 25:-0.259592 28:-0.18276601 38:-0.063603997 50:-0.36286199 #
