-1 5:-0.486665 6:-0.355635 10:-0.408325 12:-0.663846 15:-0.213977 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.615345 
-1 5:-0.486665 6:-0.355635 10:-0.408325 12:0.030615 15:-0.213977 25:0.838671 28:-0.182766 38:-0.063604 50:3.040803 
1 5:-0.312708 6:-0.355635 10:-0.222858 12:-0.165931 15:3.582826 25:-0.259592 28:-0.182766 38:-0.063604 50:0.282912 
-1 5:-0.486665 6:-0.355635 10:-0.408325 12:-0.663846 15:-0.213977 25:-0.259592 28:-0.182766 38:-0.063604 50:7.901100 
-1 5:-0.486665 6:-0.355635 10:-0.408325 12:1.013343 15:-0.213977 25:-0.259592 28:-0.182766 38:-0.063604 50:0.268346 
-1 5:-0.486665 6:-0.355635 10:-0.408325 12:-0.663846 15:-0.213977 25:-0.259592 28:-0.182766 38:-0.063604 50:0.656781 
1 5:-0.486665 6:-0.355635 10:-0.408325 12:-0.663846 15:-0.213977 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.615345 
1 5:-0.486665 6:-0.355635 10:6.160311 12:-0.663846 15:-0.213977 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.615345 
-1 5:-0.486665 6:0.466393 10:-0.222858 12:-0.663846 15:-0.213977 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.523092 
1 5:-0.486665 6:-0.355635 10:5.418442 12:-0.663846 15:-0.213977 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.615345 
-1 5:0.962976 6:0.104701 10:4.228359 12:0.449912 15:-0.213977 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.508525 
-1 5:-0.486665 6:-0.355635 10:-0.408325 12:0.594045 15:-0.213977 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.615345 
1 5:0.702040 6:1.650114 10:0.534468 12:0.947828 15:-0.213977 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.299741 
-1 5:0.818011 6:-0.355635 10:-0.408325 12:-0.663846 15:-0.213977 25:1.843466 28:1.676452 38:-0.063604 50:1.564749 
1 5:-0.486665 6:-0.355635 10:-0.408325 12:-0.663846 15:-0.213977 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.615345 
-1 5:-0.486665 6:-0.355635 10:-0.408325 12:0.947828 15:-0.213977 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.139512 
1 5:-0.080766 6:-0.355635 10:0.240811 12:-0.663846 15:0.252297 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.615345 
1 5:-0.486665 6:-0.355635 10:-0.408325 12:-0.663846 15:-0.213977 25:-0.259592 28:-0.182766 38:-0.063604 50:0.855854 
-1 5:0.238155 6:-0.355635 10:-0.408325 12:-0.008694 15:-0.213977 25:0.527107 28:0.850133 38:-0.063604 50:0.195514 
1 5:0.078695 6:0.269107 10:0.194444 12:1.419537 15:-0.213977 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.435694 
-1 5:-0.486665 6:-0.355635 10:-0.408325 12:1.380228 15:-0.213977 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.251187 
-1 5:-0.486665 6:-0.355635 10:-0.408325 12:-0.663846 15:-0.213977 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.615345 
1 5:2.833012 6:-0.355635 10:-0.408325 12:0.829900 15:-0.213977 25:-0.259592 28:-0.182766 38:-0.063604 50:2.521271 
-1 5:-0.124255 6:-0.355635 10:-0.408325 12:-0.008694 15:-0.213977 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.615345 
1 5:1.615314 6:0.828086 10:1.832739 12:0.764385 15:-0.213977 25:0.020815 28:-0.182766 38:-0.063604 50:-0.343440 
-1 5:-0.486665 6:-0.355635 10:-0.408325 12:-0.663846 15:-0.213977 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.615345 
-1 5:-0.486665 6:-0.355635 10:-0.408325 12:-0.663846 15:-0.213977 25:2.209554 28:-0.182766 38:-0.063604 50:-0.615345 
-1 5:0.136680 6:-0.355635 10:-0.408325 12:-0.663846 15:-0.213977 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.231765 
1 5:-0.486665 6:-0.355635 10:-0.408325 12:-0.663846 15:-0.213977 25:-0.259592 28:-0.182766 38:-0.063604 50:0.248924 
1 5:-0.486665 6:-0.355635 10:-0.408325 12:0.515427 15:-0.213977 25:-0.259592 28:-0.182766 38:-0.063604 50:0.093550 
-1 5:-0.486665 6:-0.355635 10:-0.408325 12:-0.663846 15:-0.213977 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.615345 
-1 5:0.499091 6:-0.355635 10:0.117166 12:-0.663846 15:-0.213977 25:0.005237 28:-0.182766 38:-0.063604 50:-0.615345 
-1 5:-0.486665 6:-0.355635 10:-0.408325 12:-0.663846 15:-0.213977 25:-0.259592 28:-0.182766 38:-0.063604 50:2.516415 
-1 5:-0.486665 6:-0.355635 10:0.611746 12:-0.663846 15:-0.213977 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.081246 
-1 5:-0.269219 6:-0.355635 10:-0.300136 12:1.747113 15:-0.213977 25:1.773364 28:-0.182766 38:0.228118 50:0.078983 
-1 5:-0.486665 6:-0.355635 10:-0.408325 12:-0.139725 15:-0.213977 25:0.137652 28:-0.182766 38:-0.063604 50:0.132393 
-1 5:-0.486665 6:-0.355635 10:-0.408325 12:0.069924 15:-0.213977 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.134656 
-1 5:-0.486665 6:-0.355635 10:-0.408325 12:-0.663846 15:-0.213977 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.615345 
-1 5:-0.486665 6:-0.355635 10:-0.408325 12:-0.663846 15:-0.213977 25:-0.259592 28:-0.182766 38:-0.063604 50:3.118490 
-1 5:-0.486665 6:-0.355635 10:-0.408325 12:0.384397 15:-0.213977 25:0.994454 28:1.469873 38:-0.063604 50:1.161747 
1 5:-0.008284 6:-0.355635 10:-0.408325 12:-0.231446 15:-0.213977 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.615345 
1 5:0.933983 6:-0.355635 10:1.106325 12:0.620252 15:-0.213977 25:0.503740 28:-0.182766 38:-0.063604 50:-0.615345 
-1 5:-0.486665 6:-0.355635 10:-0.408325 12:-0.663846 15:-0.213977 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.615345 
-1 5:-0.486665 6:-0.355635 10:0.704479 12:-0.663846 15:-0.213977 25:-0.259592 28:-0.182766 38:-0.063604 50:1.797810 
1 5:-0.486665 6:-0.355635 10:-0.408325 12:-0.663846 15:-0.213977 25:-0.259592 28:-0.182766 38:-0.063604 50:0.734468 
-1 5:-0.486665 6:-0.355635 10:-0.408325 12:-0.663846 15:-0.213977 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.615345 
-1 5:-0.486665 6:-0.355635 10:0.812669 12:0.371294 15:-0.213977 25:4.990265 28:-0.182766 38:-0.063604 50:-0.358006 
1 5:1.122436 6:-0.355635 10:-0.408325 12:-0.663846 15:0.385518 25:-0.259592 28:-0.182766 38:-0.063604 50:0.268346 
-1 5:-0.486665 6:0.203344 10:-0.408325 12:0.017512 15:-0.213977 25:0.550475 28:-0.182766 38:-0.063604 50:-0.348296 
1 5:0.586069 6:-0.355635 10:0.441734 12:-0.427992 15:0.385518 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.333729 
1 5:-0.486665 6:-0.355635 10:2.713709 12:1.314713 15:-0.213977 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.183211 
1 5:0.455601 6:1.781639 10:-0.408325 12:-0.244549 15:-0.213977 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.105524 
-1 5:-0.486665 6:-0.026824 10:-0.253769 12:1.825731 15:-0.213977 25:2.209554 28:-0.182766 38:-0.063604 50:0.054706 
