SVM-light Version V6.02
0 # kernel type
3 # kernel parameter -d 
1 # kernel parameter -g 
1 # kernel parameter -s 
1 # kernel parameter -r 
empty# kernel parameter -u 
57 # highest feature index 
1813 # number of training documents 
447 # number of support vectors plus 1 
0.70376816 # threshold b, each following line is a SV (starting with alpha*y)
-0.5 1:-0.348299 3:-0.62200397 4:-0.045352999 5:-0.48666501 6:-0.35563499 7:1.198869 8:-0.27120501 9:-0.354184 10:-0.40832499 11:-0.332057 12:-0.66384602 14:-0.189715 15:-0.21397699 16:-0.303601 18:-0.362865 19:0.87693101 21:-0.205281 25:-0.259592 27:-0.035758998 28:-0.18276601 29:-0.150461 30:-0.189439 31:-0.120054 33:-0.133763 34:-0.1311 35:-0.191397 36:-0.22950201 38:-0.063603997 39:-0.157189 42:-0.139154 45:1.111878 46:-0.215674 47:-0.079241998 48:-0.101023 49:-0.14805999 50:-0.615345 51:-0.150841 52:-0.459032 55:-0.103924 56:-0.364039 57:-0.35729799 #
-0.5 1:-0.348299 3:-0.62200397 4:-0.045352999 5:-0.48666501 6:-0.35563499 7:-0.31764501 8:-0.27120501 9:-0.354184 10:-0.40832499 11:-0.332057 12:-0.66384602 14:-0.189715 15:-0.21397699 16:-0.303601 18:-0.362865 19:-1.03152 21:-0.76167101 25:-0.259592 27:-0.225205 28:-0.18276601 29:-0.150461 30:-0.189439 31:-0.120054 33:-0.133763 34:-0.1311 35:-0.191397 36:-0.22950201 38:-0.063603997 39:-0.157189 42:-0.139154 45:-0.29318199 46:-0.215674 47:-0.079241998 48:-0.101023 49:-0.14805999 50:0.21008 51:-0.150841 52:-0.459032 55:-0.097038999 56:-0.217152 57:-0.27790901 #
0.5 1:-0.348299 3:-0.62200397 4:-0.045352999 5:-0.48666501 6:-0.35563499 7:-0.31764501 8:-0.27120501 9:-0.354184 10:-0.40832499 11:-0.332057 12:-0.66384602 14:-0.189715 15:-0.21397699 16:0.52558398 18:-0.362865 19:-0.533171 21:-0.76167101 25:-0.259592 27:-0.225205 28:-0.18276601 29:-0.150461 30:-0.189439 31:-0.120054 33:-0.133763 34:-0.1311 35:-0.191397 36:-0.22950201 38:-0.063603997 39:-0.157189 42:-0.139154 45:-0.29318199 46:-0.215674 47:-0.079241998 48:-0.101023 49:-0.14805999 50:0.064416997 51:-0.150841 52:-0.459032 55:-0.114929 56:-0.364039 57:-0.351307 #
0.5 1:-0.348299 3:3.652724 4:-0.045352999 5:1.06445 6:-0.35563499 7:-0.31764501 8:-0.27120501 9:-0.354184 10:-0.40832499 11:-0.332057 12:-0.66384602 14:-0.189715 15:-0.21397699 16:-0.303601 18:-0.362865 19:-0.42557299 21:0.126892 25:-0.259592 27:-0.225205 28:-0.18276601 29:-0.150461 30:-0.189439 31:-0.120054 33:-0.133763 34:-0.1311 35:-0.191397 36:-0.22950201 38:-0.063603997 39:-0.157189 42:-0.139154 45:-0.29318199 46:-0.215674 47:-0.079241998 48:-0.101023 49:-0.14805999 50:-0.615345 51:-0.150841 52:-0.176443 55:-0.089691997 56:-0.27126801 57:-0.37077901 #
0.5 1:0.071644999 3:-0.10506 4:-0.045352999 5:-0.109759 6:0.499275 7:-0.31764501 8:0.027752999 9:1.012808 10:-0.20740201 11:0.26968399 12:-0.15282799 14:-0.189715 15:-0.21397699 16:-0.181107 18:-0.362865 19:0.299299 21:-0.65371501 25:-0.259592 27:-0.225205 28:-0.18276601 29:-0.150461 30:-0.189439 31:-0.120054 33:-0.133763 34:-0.1311 35:-0.191397 36:-0.22950201 38:-0.063603997 39:-0.157189 42:-0.139154 45:-0.29318199 46:-0.215674 47:-0.079241998 48:-0.101023 49:-0.14805999 50:0.049851 51:-0.150841 52:-0.459032 55:-0.077303998 56:-0.18622801 57:0.25684801 #
0.5 1:-0.348299 3:-0.62200397 4:-0.045352999 5:-0.48666501 6:-0.35563499 7:-0.31764501 8:-0.27120501 9:-0.354184 10:-0.40832499 11:-0.332057 12:-0.66384602 14:-0.189715 15:-0.21397699 16:-0.303601 18:-0.362865 19:-1.03152 21:-0.76167101 25:-0.259592 27:-0.225205 28:-0.18276601 29:-0.150461 30:-0.189439 31:-0.120054 33:-0.133763 34:-0.1311 35:-0.191397 36:-0.22950201 38:-0.063603997 39:-0.157189 42:-0.139154 45:-0.29318199 46:-0.215674 47:-0.079241998 48:-0.101023 49:-0.14805999 50:-0.615345 51:-0.150841 52:-0.459032 55:-0.086280003 56:-0.340846 57:-0.37826899 #
0.5 1:-0.348299 3:-0.62200397 4:-0.045352999 5:-0.48666501 6:-0.35563499 7:-0.31764501 8:-0.27120501 9:-0.354184 10:5.4184418 11:-0.332057 12:-0.66384602 14:-0.189715 15:-0.21397699 16:-0.303601 18:-0.362865 19:0.033135001 21:-0.76167101 25:-0.259592 27:-0.225205 28:-0.18276601 29:-0.150461 30:-0.189439 31:-0.120054 33:-0.133763 34:-0.1311 35:-0.191397 36:-0.22950201 38:-0.063603997 39:-0.157189 42:-0.139154 45:-0.29318199 46:-0.215674 47:-0.079241998 48:-0.101023 49:0.74088001 50:-0.615345 51:-0.150841 52:-0.459032 55:-0.028214 56:-0.317653 57:-0.32734001 #
0.5 1:-0.348299 3:0.014235 4:-0.045352999 5:1.165925 6:0.69656098 7:-0.31764501 8:0.096744001 9:-0.354184 10:0.59628999 11:-0.332057 12:2.1271009 14:-0.189715 15:-0.21397699 16:-0.15284 18:-0.362865 19:-0.19904999 21:0.45906499 25:-0.259592 27:-0.225205 28:-0.18276601 29:-0.150461 30:-0.189439 31:-0.120054 33:-0.133763 34:-0.1311 35:-0.191397 36:-0.22950201 38:-0.063603997 39:-0.157189 42:-0.139154 45:-0.29318199 46:-0.215674 47:-0.079241998 48:-0.101023 49:-0.14805999 50:-0.615345 51:-0.150841 52:-0.459032 55:-0.092027999 56:-0.317653 57:-0.207507 #
-0.5 1:-0.348299 3:-0.62200397 4:-0.045352999 5:-0.48666501 6:18.978474 7:-0.31764501 8:-0.27120501 9:-0.354184 10:-0.40832499 11:-0.332057 12:-0.66384602 14:-0.189715 15:-0.21397699 16:-0.303601 18:-0.362865 19:-1.03152 21:-0.76167101 25:-0.259592 27:-0.225205 28:-0.18276601 29:-0.150461 30:-0.189439 31:-0.120054 33:-0.133763 34:-0.1311 35:-0.191397 36:-0.22950201 38:-0.063603997 39:-0.157189 42:-0.139154 45:-0.29318199 46:-0.215674 47:-0.079241998 48:-0.101023 49:-0.14805999 50:-0.615345 51:-0.150841 52:-0.459032 55:-0.079456002 56:-0.3795 57:-0.42021099 #
0.22108670570157953894074864820141 1:-0.348299 3:-0.62200397 4:-0.045352999 5:0.499091 6:-0.35563499 7:-0.31764501 8:-0.27120501 9:-0.354184 10:2.3891411 11:-0.332057 12:0.22716001 14:-0.189715 15:-0.21397699 16:-0.096303999 18:-0.362865 19:0.89392 21:0.74141198 25:-0.259592 27:-0.225205 28:-0.18276601 29:-0.150461 30:-0.189439 31:-0.120054 33:-0.133763 34:-0.1311 35:-0.191397 36:-0.22950201 38:-0.063603997 39:-0.157189 42:0.47134799 45:-0.064208999 46:-0.215674 47:-0.079241998 48:-0.101023 49:0.38732401 50:2.093992 51:1.565253 52:-0.16614 55:0.025826 56:0.223509 57:0.34971899 #
