-1 5:-0.486665 25:-0.259592 
-1 5:-0.486665 25:0.838671 
1 5:-0.312708 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
1 5:-0.486665 25:-0.259592 
1 5:-0.486665 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
1 5:-0.486665 25:-0.259592 
-1 5:0.962976 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
1 5:0.702040 25:-0.259592 
-1 5:0.818011 25:1.843466 
1 5:-0.486665 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
1 5:-0.080766 25:-0.259592 
1 5:-0.486665 25:-0.259592 
-1 5:0.238155 25:0.527107 
1 5:0.078695 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
1 5:2.833012 25:-0.259592 
-1 5:-0.124255 25:-0.259592 
1 5:1.615314 25:0.020815 
-1 5:-0.486665 25:-0.259592 
-1 5:-0.486665 25:2.209554 
-1 5:0.136680 25:-0.259592 
1 5:-0.486665 25:-0.259592 
1 5:-0.486665 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
-1 5:0.499091 25:0.005237 
-1 5:-0.486665 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
-1 5:-0.269219 25:1.773364 
-1 5:-0.486665 25:0.137652 
-1 5:-0.486665 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
-1 5:-0.486665 25:0.994454 
1 5:-0.008284 25:-0.259592 
1 5:0.933983 25:0.503740 
-1 5:-0.486665 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
1 5:-0.486665 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
-1 5:-0.486665 25:4.990265 
1 5:1.122436 25:-0.259592 
-1 5:-0.486665 25:0.550475 
1 5:0.586069 25:-0.259592 
1 5:-0.486665 25:-0.259592 
1 5:0.455601 25:-0.259592 
-1 5:-0.486665 25:2.209554 
1 5:-0.486665 25:-0.259592 
-1 5:0.223659 25:-0.259592 
1 5:0.136680 25:-0.096021 
1 5:-0.341701 25:-0.220647 
-1 5:-0.486665 25:-0.259592 
1 5:-0.486665 25:-0.259592 
1 5:1.064450 25:-0.259592 
1 5:-0.269219 25:-0.259592 
1 5:0.484594 25:-0.259592 
1 5:0.281644 25:-0.259592 
1 5:0.238155 25:-0.259592 
-1 5:-0.138751 25:-0.259592 
1 5:1.136932 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
1 5:1.905242 25:-0.259592 
1 5:-0.486665 25:-0.259592 
1 5:0.078695 25:-0.259592 
-1 5:-0.486665 25:-0.111599 
1 5:-0.022780 25:-0.259592 
1 5:-0.486665 25:-0.259592 
-1 5:-0.037276 25:0.885406 
-1 5:-0.486665 25:-0.259592 
1 5:0.397616 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
-1 5:-0.486665 25:6.509140 
1 5:-0.486665 25:-0.259592 
-1 5:-0.022780 25:0.737413 
-1 5:-0.486665 25:-0.259592 
1 5:0.020709 25:-0.259592 
1 5:-0.486665 25:-0.259592 
-1 5:0.455601 25:0.145441 
1 5:-0.486665 25:-0.259592 
-1 5:6.413624 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
1 5:1.426861 25:-0.259592 
1 5:0.006213 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
-1 5:-0.486665 25:1.360541 
-1 5:-0.486665 25:1.064555 
1 5:0.165673 25:-0.259592 
-1 5:-0.486665 25:1.391698 
1 5:-0.066269 25:-0.259592 
1 5:-0.486665 25:-0.259592 
-1 5:2.963480 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
1 5:0.383119 25:-0.259592 
1 5:0.455601 25:-0.259592 
1 5:0.006213 25:-0.259592 
1 5:-0.153248 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
-1 5:-0.486665 25:0.815304 
-1 5:-0.486665 25:-0.259592 
1 5:1.165925 25:0.036394 
-1 5:-0.486665 25:1.415065 
1 5:-0.486665 25:-0.259592 
1 5:-0.486665 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
-1 5:-0.486665 25:4.437238 
-1 5:-0.486665 25:1.711051 
-1 5:-0.486665 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
1 5:1.165925 25:-0.259592 
1 5:-0.486665 25:-0.259592 
1 5:0.093191 25:-0.259592 
1 5:-0.486665 25:-0.259592 
1 5:1.397868 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
1 5:-0.457672 25:-0.244014 
-1 5:-0.486665 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
1 5:-0.486665 25:-0.259592 
1 5:-0.486665 25:-0.259592 
1 5:1.107940 25:-0.259592 
-1 5:-0.486665 25:1.438433 
1 5:0.180170 25:-0.259592 
1 5:-0.486665 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
1 5:-0.486665 25:-0.259592 
1 5:0.296141 25:-0.259592 
1 5:0.455601 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
1 5:0.383119 25:-0.259592 
1 5:0.267148 25:-0.259592 
1 5:1.339882 25:-0.259592 
-1 5:-0.486665 25:0.963297 
1 5:2.499595 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
1 5:1.455853 25:-0.259592 
-1 5:-0.240226 25:0.013026 
-1 5:-0.486665 25:0.301223 
-1 5:-0.486665 25:-0.259592 
1 5:0.165673 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
-1 5:0.035206 25:1.150236 
1 5:0.194666 25:-0.259592 
1 5:0.397616 25:-0.259592 
1 5:1.542832 25:-0.259592 
1 5:0.615062 25:-0.259592 
1 5:0.281644 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
-1 5:-0.486665 25:5.971692 
-1 5:-0.486665 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
-1 5:-0.486665 25:3.144247 
-1 5:-0.486665 25:3.198770 
1 5:-0.486665 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
1 5:-0.370694 25:-0.259592 
1 5:-0.486665 25:-0.259592 
-1 5:-0.486665 25:11.720052 
1 5:-0.283715 25:-0.259592 
1 5:0.455601 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
1 5:1.571825 25:-0.259592 
1 5:-0.211233 25:-0.259592 
1 5:0.136680 25:-0.259592 
1 5:-0.486665 25:-0.259592 
-1 5:0.702040 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
1 5:1.107940 25:-0.259592 
1 5:0.368623 25:-0.259592 
1 5:-0.486665 25:-0.259592 
1 5:-0.486665 25:-0.259592 
-1 5:-0.486665 25:0.971086 
1 5:0.803515 25:-0.259592 
1 5:-0.486665 25:-0.259592 
-1 5:-0.486665 25:0.418060 
1 5:0.180170 25:-0.259592 
1 5:-0.211233 25:-0.259592 
-1 5:2.470602 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
1 5:-0.486665 25:-0.259592 
1 5:1.020961 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
1 5:-0.080766 25:-0.259592 
-1 5:-0.486665 25:0.488162 
1 5:-0.486665 25:-0.259592 
-1 5:0.383119 25:-0.259592 
1 5:-0.486665 25:-0.259592 
1 5:-0.486665 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
-1 5:-0.486665 25:-0.259592 
1 5:1.383371 25:-0.259592 
1 5:0.904990 25:-0.259592 
1 5:0.629558 25:-0.259592 
1 5:0.731033 25:-0.259592 
1 5:-0.211233 25:-0.259592 
-1 5:-0.211233 25:1.134657 
-1 5:0.412112 25:-0.259592 
-1 5:1.049954 25:-0.259592 
1 5:2.195170 25:-0.259592 
