SVM-light Version V6.02
0 # kernel type
3 # kernel parameter -d 
1 # kernel parameter -g 
1 # kernel parameter -s 
1 # kernel parameter -r 
empty# kernel parameter -u 
50 # highest feature index 
1813 # number of training documents 
1223 # number of support vectors plus 1 
0.58366581 # threshold b, each following line is a SV (starting with alpha*y)
-0.5 5:-0.48666501 6:-0.35563499 12:-0.66384602 25:-0.259592 28:-0.18276601 38:-0.063603997 50:0.65678102 #
0.5 5:-0.31270799 6:-0.35563499 12:-0.165931 25:-0.259592 28:-0.18276601 38:-0.063603997 50:0.28291199 #
-0.5 5:7.5588398 6:-0.35563499 12:6.6083412 25:-0.259592 28:-0.18276601 38:-0.063603997 50:-0.615345 #
0.5 5:-0.48666501 6:-0.35563499 12:-0.66384602 25:-0.259592 28:17.02533 38:-0.063603997 50:9.1586599 #
-0.5 5:-0.48666501 6:-0.35563499 12:-0.66384602 25:-0.259592 28:-0.18276601 38:-0.063603997 50:-0.615345 #
0.5 5:-0.48666501 6:-0.35563499 12:-0.66384602 25:-0.259592 28:-0.18276601 38:-0.063603997 50:-0.615345 #
0.5 5:0.296141 6:-0.35563499 12:0.043717999 25:-0.259592 28:-0.18276601 38:-0.063603997 50:-0.615345 #
-0.5 5:-0.153248 6:0.40063101 12:-0.362477 25:0.106496 28:-0.18276601 38:-0.063603997 50:-0.100668 #
-0.5 5:-0.48666501 6:18.978474 12:-0.66384602 25:-0.259592 28:-0.18276601 38:-0.063603997 50:-0.615345 #
0.049738735322963030516252302959401 5:-0.48666501 6:-0.35563499 12:-0.66384602 25:-0.259592 28:18.595337 38:-0.063603997 50:4.9829798 #
-0.5 5:-0.48666501 6:-0.35563499 12:1.8650399 25:-0.259592 28:-0.18276601 38:-0.063603997 50:-0.50366998 #
-0.5 5:4.5000992 6:-0.35563499 12:3.8436 25:-0.259592 28:-0.18276601 38:-0.063603997 50:2.171679 #
-0.49968124192891194557120115860016 5:-0.48666501 6:-0.35563499 12:-0.66384602 25:-0.259592 28:-0.18276601 38:-0.063603997 50:0.61308199 #
