-1 1:-0.348299 4:-0.045353 5:-0.486665 6:-0.355635 7:1.198869 8:-0.271205 9:-0.354184 10:-0.408325 12:-0.663846 15:-0.213977 16:-0.303601 21:-0.205281 25:-0.259592 28:-0.182766 29:-0.150461 34:-0.131100 35:-0.191397 36:-0.229502 38:-0.063604 39:-0.157189 42:-0.139154 45:1.111878 47:-0.079242 48:-0.101023 49:-0.148060 50:-0.615345 51:-0.150841 52:-0.459032 55:-0.103924 56:-0.364039 57:-0.357298 
-1 1:-0.348299 4:-0.045353 5:-0.486665 6:-0.355635 7:-0.317645 8:-0.271205 9:-0.354184 10:-0.408325 12:0.030615 15:-0.213977 16:-0.303601 21:-0.761671 25:0.838671 28:-0.182766 29:-0.150461 34:-0.131100 35:-0.191397 36:-0.229502 38:-0.063604 39:-0.157189 42:-0.139154 45:-0.293182 47:-0.079242 48:0.492047 49:0.764450 50:3.040803 51:1.144325 52:-0.459032 55:-0.012629 56:-0.263537 57:0.418623 
1 1:-0.348299 4:-0.045353 5:-0.312708 6:-0.355635 7:-0.317645 8:0.004757 9:0.522093 10:-0.222858 12:-0.165931 15:3.582826 16:-0.303601 21:0.292978 25:-0.259592 28:-0.182766 29:-0.150461 34:-0.131100 35:-0.191397 36:0.148330 38:-0.063604 39:-0.157189 42:-0.139154 45:-0.293182 47:-0.079242 48:-0.101023 49:-0.148060 50:0.282912 51:-0.150841 52:0.087013 55:-0.072939 56:0.231240 57:0.267333 
-1 1:-0.348299 4:-0.045353 5:-0.486665 6:-0.355635 7:-0.317645 8:-0.271205 9:-0.354184 10:-0.408325 12:-0.663846 15:-0.213977 16:-0.303601 21:-0.761671 25:-0.259592 28:-0.182766 29:-0.150461 34:-0.131100 35:-0.191397 36:-0.229502 38:-0.063604 39:-0.157189 42:-0.139154 45:-0.293182 47:-0.079242 48:-0.101023 49:-0.148060 50:7.901100 51:-0.150841 52:-0.459032 55:-0.130667 56:-0.410424 57:-0.433692 
-1 1:-0.348299 4:-0.045353 5:-0.486665 6:-0.355635 7:-0.317645 8:-0.271205 9:-0.354184 10:-0.408325 12:1.013343 15:-0.213977 16:-0.303601 21:-0.761671 25:-0.259592 28:-0.182766 29:-0.150461 34:-0.131100 35:-0.191397 36:-0.229502 38:-0.063604 39:-0.157189 42:-0.139154 45:-0.293182 47:-0.079242 48:-0.101023 49:0.464770 50:0.268346 51:-0.150841 52:-0.459032 55:-0.130667 56:-0.410424 57:-0.430696 
-1 1:-0.348299 4:-0.045353 5:-0.486665 6:-0.355635 7:-0.317645 8:-0.271205 9:-0.354184 10:-0.408325 12:-0.663846 15:-0.213977 16:-0.303601 21:-0.761671 25:-0.259592 28:-0.182766 29:-0.150461 34:-0.131100 35:-0.191397 36:-0.229502 38:-0.063604 39:-0.157189 42:-0.139154 45:-0.293182 47:-0.079242 48:5.097060 49:-0.148060 50:0.656781 51:-0.150841 52:-0.459032 55:-0.111455 56:-0.364039 57:-0.405232 
1 1:-0.348299 4:-0.045353 5:-0.486665 6:-0.355635 7:-0.317645 8:-0.271205 9:-0.354184 10:-0.408325 12:-0.663846 15:-0.213977 16:-0.303601 21:-0.761671 25:-0.259592 28:-0.182766 29:-0.150461 34:-0.131100 35:-0.191397 36:-0.229502 38:-0.063604 39:-0.157189 42:-0.139154 45:-0.293182 47:-0.079242 48:-0.101023 49:-0.148060 50:-0.615345 51:-0.150841 52:-0.459032 55:-0.086280 56:-0.340846 57:-0.378269 
1 1:-0.348299 4:-0.045353 5:-0.486665 6:-0.355635 7:-0.317645 8:-0.271205 9:-0.354184 10:6.160311 12:-0.663846 15:-0.213977 16:-0.303601 21:-0.761671 25:-0.259592 28:-0.182766 29:-0.150461 34:-0.131100 35:-0.191397 36:-0.229502 38:-0.063604 39:-0.157189 42:-0.139154 45:-0.293182 47:-0.079242 48:-0.101023 49:0.818325 50:-0.615345 51:-0.150841 52:-0.459032 55:-0.028214 56:-0.317653 57:-0.327340 
-1 1:0.459285 4:-0.045353 5:-0.486665 6:0.466393 7:-0.317645 8:-0.271205 9:-0.354184 10:-0.222858 12:-0.663846 15:-0.213977 16:-0.068037 21:-0.338151 25:-0.259592 28:-0.182766 29:-0.150461 34:-0.131100 35:-0.191397 36:-0.229502 38:-0.063604 39:-0.157189 42:-0.139154 45:0.102316 47:-0.079242 48:-0.101023 49:-0.084083 50:-0.523092 51:-0.150841 52:-0.459032 55:-0.110933 56:-0.286730 57:-0.134109 
1 1:-0.348299 4:-0.045353 5:-0.486665 6:-0.355635 7:-0.317645 8:-0.271205 9:-0.354184 10:5.418442 12:-0.663846 15:-0.213977 16:-0.303601 21:-0.761671 25:-0.259592 28:-0.182766 29:-0.150461 34:-0.131100 35:-0.191397 36:-0.229502 38:-0.063604 39:-0.157189 42:-0.139154 45:-0.293182 47:-0.079242 48:-0.101023 49:0.740880 50:-0.615345 51:-0.150841 52:-0.459032 55:-0.028214 56:-0.317653 57:-0.327340 
